,Duration_days,Energy_Unit_log,Energy_density_sqr,Volume_sqr,Event_freq_unit_per_day_log,Energy_Joule_per_day_sqr,Volume_m3_per_day_sqr,Energy_per_Volume_log,Energy_per_Duration_log,Volume_Change_Rate_log,Intensity_Level_encoded
0,1.0,0.6931471805599453,2.3716,18.5761,0.6931471805599453,2.3716,18.5761,0.208653931138191,0.6931471805599453,1.6695918352538477,0
1,1.0,0.6931471805599453,22.8484,8.910224999999999,0.6931471805599453,22.8484,8.910224999999999,0.2889375653976129,0.6931471805599453,1.3825373122421782,0
2,5.0,3.4011973816621555,30.393169,22.819729,1.916922612182061,23.174596,16.630084000000004,1.9559673630812784,1.916922612182061,0.5964159916001736,3
3,11.0,1.791759469228055,5.929225000000001,15.038884,0.3750059006234558,1.940449,8.042895999999999,0.8282567495913834,0.3746934494414106,0.2293786182765517,0
4,11.0,2.70805020110221,23.213124,18.198756,0.8211005448704062,14.258176,10.400625,1.4543647882203283,0.8209805520698302,0.2571057072140241,2
5,13.0,1.6094379124341005,33.872400000000006,13.897984,0.2684992530350069,22.146436000000005,6.832996,0.7289782000868722,0.2682639865946793,0.1832185902365624,0
6,16.0,4.07753744390572,50.324836000000005,24.750625,1.5314763709643886,34.6921,14.220441,2.538312451628118,1.5314763709643886,0.2116274953529622,3
7,9.0,1.3862943611198906,19.784704000000005,18.156121,0.2874320411965716,12.201049,10.929636,0.5330136858803347,0.2876820724517809,0.3128623709820791,0
8,8.0,1.9459101490553128,19.079424000000003,12.229009,0.5596157879354227,12.006225,6.728835999999999,0.9990705011795766,0.5596157879354227,0.280846261442499,1
9,9.0,3.1780538303479458,19.430464000000004,23.746129000000003,1.2686363176516582,11.930116000000002,15.350724,1.743948714465916,1.2685113254635072,0.3613971102740616,2
10,18.0,1.0986122886681098,26.6256,8.620096,0.1052605106574929,15.249024999999998,2.8224,0.5195071758508176,0.1053605156578263,0.0892311337279426,0
11,10.0,2.9444389791664403,31.382404000000005,22.838841,1.029619417181158,21.178404000000004,14.280841,1.5616077393031853,1.029619417181158,0.3205606010177204,2
12,9.0,2.079441541679836,18.49,9.108324,0.5754891370917129,11.189025,4.260096,1.199789114589768,0.5753641449035619,0.2064720170262377,0
13,8.0,2.3978952727983707,43.243776,25.816561000000004,0.8109302162163288,32.182929,17.455683999999998,1.087927580766953,0.8109302162163288,0.4201895035065464,3
14,4.0,1.3862943611198906,17.732521000000002,14.394436,0.5596157879354227,13.024881,10.188864,0.5826189982255696,0.5596157879354227,0.5866749360494286,0
15,6.0,1.6094379124341005,20.5209,20.766249,0.511025603768657,14.077503999999998,14.280841,0.6300851491541722,0.5108256237659907,0.4884777601020831,1
16,5.0,1.6094379124341005,22.439169,17.413929,0.5877866649021191,16.305444,12.068676000000002,0.672200836924577,0.5877866649021191,0.5275647397702672,0
17,6.0,1.3862943611198906,13.454224000000002,13.024881,0.4054651081081644,8.3521,8.014561,0.6050016308276642,0.4054651081081644,0.3865087892586101,0
18,5.0,1.9459101490553128,25.080064,21.409129,0.7645371766466182,12.794929,10.208025,0.8314892224656956,0.7884573603642702,0.4940862997616926,2
19,9.0,2.4849066497880004,35.117476,17.147881,0.7984076912174383,24.720784000000005,10.150596,1.296468991462805,0.7985076962177716,0.3030631744900832,2
20,4.0,2.079441541679836,19.193161000000003,17.073423999999996,1.01160091167848,14.280841,12.453841,0.9910622924062524,1.01160091167848,0.6324678697480947,1
21,10.0,3.4011973816621555,15.069924,17.272335999999996,1.3609765531356006,8.305924000000001,9.960336000000002,2.076670622492299,1.3609765531356006,0.2742928353327649,1
22,3.0,2.19722457733622,27.081616,15.816529,1.2993738890891888,22.344529,12.25,1.1024603777398163,1.2992829841302609,0.7731898882334818,1
23,11.0,3.737669618283368,35.617024,22.033636,1.5532907518110994,24.265476000000003,13.344409,2.2756819008234594,1.5533484457830566,0.2867498198575175,3
24,6.0,2.6390573296152584,19.430464000000004,19.607184,1.1527847675565026,13.169641,13.3225,1.3701300934088052,1.1526795099383853,0.4751984461228395,1
25,4.0,1.6094379124341005,21.114025,13.749264000000002,0.6931471805599453,15.944049,9.647236,0.7317661028485112,0.6931471805599453,0.5746451364789447,1
26,2.0,1.0986122886681098,3.7636,10.5625,0.6931471805599453,2.686321,8.696601,0.4795730802618863,0.6931471805599453,0.9060383554098036,0
27,10.0,4.262679877041316,37.785609,26.543104000000003,2.079441541679836,26.491609000000004,17.239104,2.680127740482587,2.079441541679836,0.3472708638634385,3
28,14.0,3.610917912644224,22.363441,18.800896,1.2728456686123115,6.671889000000001,9.985600000000002,2.2302921063082186,1.2729656758128876,0.2035237644445575,2
